"date","price","reference","month","week"
2013-07-05,1.88,"http://cf.datawrapper.de/H296a/4/","2013-07","2013-W27"
2013-07-12,2,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2013-07","2013-W28"
2013-07-22,2.02,"http://cf.datawrapper.de/H296a/4/","2013-07","2013-W30"
2013-07-26,2.08,"http://cf.datawrapper.de/H296a/4/","2013-07","2013-W30"
2013-08-02,2.1,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2013-08","2013-W31"
2013-08-09,2.6,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2013-08","2013-W32"
2013-08-16,2.7,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2013-08","2013-W33"
2013-08-22,3,"http://www.carbonnews.co.nz/story.asp?storyID=7015","2013-08","2013-W34"
2013-08-23,4.55,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2013-08","2013-W34"
2013-08-30,4.2,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2013-08","2013-W35"
2013-08-30,4.5,"http://www.carbonnews.co.nz/story.asp?storyID=7036","2013-08","2013-W35"
2013-09-06,4.3,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2013-09","2013-W36"
2013-09-13,4,"http://www.carbonnews.co.nz/story.asp?storyID=7071","2013-09","2013-W37"
2013-09-13,4.4,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2013-09","2013-W37"
2013-09-20,4.55,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2013-09","2013-W38"
2013-09-30,4.3,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2013-09","2013-W40"
2013-10-02,4.1,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2013-10","2013-W40"
2013-10-11,4.2,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2013-10","2013-W41"
2013-10-17,3.95,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2013-10","2013-W42"
2013-10-30,3.65,"http://cf.datawrapper.de/H296a/4/","2013-10","2013-W44"
2013-10-31,3.6,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2013-10","2013-W44"
2013-11-13,3.15,"http://cf.datawrapper.de/H296a/4/","2013-11","2013-W46"
2013-11-15,3,"http://cf.datawrapper.de/H296a/4/","2013-11","2013-W46"
2013-11-18,3.1,"http://cf.datawrapper.de/H296a/4/","2013-11","2013-W47"
2013-11-22,3.15,"http://cf.datawrapper.de/H296a/4/","2013-11","2013-W47"
2013-11-26,3.3,"http://cf.datawrapper.de/H296a/4/","2013-11","2013-W48"
2013-11-29,3.45,"http://cf.datawrapper.de/H296a/4/","2013-11","2013-W48"
2013-12-02,4.05,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2013-12","2013-W49"
2013-12-06,4,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2013-12","2013-W49"
2013-12-12,3.5,"http://cf.datawrapper.de/H296a/4/","2013-12","2013-W50"
2013-12-16,3.45,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2013-12","2013-W51"
2013-12-31,3.1,"http://cf.datawrapper.de/H296a/4/","2013-12","2014-W01"
2014-01-08,3.15,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2014-01","2014-W02"
2014-01-10,3.15,"http://cf.datawrapper.de/H296a/4/","2014-01","2014-W02"
2014-01-20,3.3,"http://cf.datawrapper.de/H296a/4/","2014-01","2014-W04"
2014-01-28,3.25,"http://cf.datawrapper.de/H296a/4/","2014-01","2014-W05"
2014-02-04,3.2,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2014-02","2014-W06"
2014-02-10,3.25,"http://cf.datawrapper.de/H296a/4/","2014-02","2014-W07"
2014-02-18,3.35,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2014-02","2014-W08"
2014-02-27,3.15,"http://www.carbonforestservices.co.nz/nzueru-chart.html","2014-02","2014-W09"
2014-03-24,3.07,"http://cf.datawrapper.de/H296a/4/","2014-03","2014-W13"
2014-03-25,3.07,"http://cf.datawrapper.de/H296a/4/","2014-03","2014-W13"
2014-03-26,3.07,"http://cf.datawrapper.de/H296a/4/","2014-03","2014-W13"
2014-03-27,3.06,"http://cf.datawrapper.de/H296a/4/","2014-03","2014-W13"
2014-03-31,3.1,"http://cf.datawrapper.de/H296a/4/","2014-03","2014-W14"
2014-04-01,3.1,"http://cf.datawrapper.de/H296a/4/","2014-04","2014-W14"
2014-04-08,3.07,"http://cf.datawrapper.de/H296a/4/","2014-04","2014-W15"
2014-04-16,3.06,"http://cf.datawrapper.de/H296a/4/","2014-04","2014-W16"
2014-04-23,3.05,"http://cf.datawrapper.de/H296a/4/","2014-04","2014-W17"
2014-04-30,3,"http://cf.datawrapper.de/H296a/4/","2014-04","2014-W18"
2014-05-07,3.08,"http://cf.datawrapper.de/H296a/4/","2014-05","2014-W19"
2014-05-09,3.11,"http://cf.datawrapper.de/H296a/4/","2014-05","2014-W19"
2014-05-15,3.16,"http://cf.datawrapper.de/H296a/4/","2014-05","2014-W20"
2014-05-16,3.9,"http://uk.reuters.com/article/new-zealand-carbon-idUKL3N0O21ED20140516","2014-05","2014-W20"
2014-05-19,4,"http://cf.datawrapper.de/H296a/4/","2014-05","2014-W21"
2014-05-20,4.15,"http://cf.datawrapper.de/H296a/4/","2014-05","2014-W21"
2014-05-22,4.1,"http://cf.datawrapper.de/H296a/4/","2014-05","2014-W21"
2014-05-26,4.4,"http://cf.datawrapper.de/H296a/4/","2014-05","2014-W22"
2014-05-26,4.65,"http://cf.datawrapper.de/H296a/4/","2014-05","2014-W22"
2014-05-27,5.2,"http://cf.datawrapper.de/H296a/4/","2014-05","2014-W22"
2014-05-30,5.15,"http://cf.datawrapper.de/H296a/4/","2014-05","2014-W22"
2014-06-02,4.8,"http://cf.datawrapper.de/H296a/4/","2014-06","2014-W23"
2014-06-03,5,"http://cf.datawrapper.de/H296a/4/","2014-06","2014-W23"
2014-06-04,4.85,"http://cf.datawrapper.de/H296a/4/","2014-06","2014-W23"
2014-06-05,5.05,"http://cf.datawrapper.de/H296a/4/","2014-06","2014-W23"
2014-06-06,4.92,"http://cf.datawrapper.de/H296a/4/","2014-06","2014-W23"
2014-06-13,4.7,"http://cf.datawrapper.de/H296a/4/","2014-06","2014-W24"
2014-06-16,4.35,"http://cf.datawrapper.de/H296a/4/","2014-06","2014-W25"
2014-06-17,4.1,"http://cf.datawrapper.de/H296a/4/","2014-06","2014-W25"
2014-06-18,4.2,"http://cf.datawrapper.de/H296a/4/","2014-06","2014-W25"
2014-06-23,4.17,"http://cf.datawrapper.de/H296a/4/","2014-06","2014-W26"
2014-06-24,4.15,"http://cf.datawrapper.de/H296a/4/","2014-06","2014-W26"
2014-06-30,4.2,"http://cf.datawrapper.de/H296a/4/","2014-06","2014-W27"
2014-07-02,4.17,"http://www.carbonnews.co.nz/story.asp?storyID=7852","2014-07","2014-W27"
2014-07-03,4.17,"http://www.carbonnews.co.nz/story.asp?storyID=7853","2014-07","2014-W27"
2014-07-10,4.15,"http://www.carbonnews.co.nz/story.asp?storyID=7871","2014-07","2014-W28"
2014-07-14,4.1,"http://www.carbonnews.co.nz/story.asp?storyID=7886","2014-07","2014-W29"
2014-07-18,4,"http://uk.reuters.com/article/new-zealand-carbontrading-idUKL4N0PT1DS20140718","2014-07","2014-W29"
2014-07-21,3.95,"http://www.carbonnews.co.nz/story.asp?storyID=7904","2014-07","2014-W30"
2014-07-28,3.95,"http://cf.datawrapper.de/H296a/4/","2014-07","2014-W31"
2014-07-29,4,"http://cf.datawrapper.de/H296a/4/","2014-07","2014-W31"
2014-08-11,3.95,"http://cf.datawrapper.de/H296a/4/","2014-08","2014-W33"
2014-08-14,3.85,"http://cf.datawrapper.de/H296a/4/","2014-08","2014-W33"
2014-08-15,3.85,"http://cf.datawrapper.de/H296a/4/","2014-08","2014-W33"
2014-08-18,3.82,"http://cf.datawrapper.de/H296a/4/","2014-08","2014-W34"
2014-08-21,3.8,"http://cf.datawrapper.de/H296a/4/","2014-08","2014-W34"
2014-08-25,3.8,"http://cf.datawrapper.de/H296a/4/","2014-08","2014-W35"
2014-08-27,3.9,"http://cf.datawrapper.de/H296a/4/","2014-08","2014-W35"
2014-08-29,4.07,"http://cf.datawrapper.de/H296a/4/","2014-08","2014-W35"
2014-09-01,4.25,"http://cf.datawrapper.de/H296a/4/","2014-09","2014-W36"
2014-09-02,4.22,"http://cf.datawrapper.de/H296a/4/","2014-09","2014-W36"
2014-09-03,4.35,"http://cf.datawrapper.de/H296a/4/","2014-09","2014-W36"
2014-09-04,4.45,"http://cf.datawrapper.de/H296a/4/","2014-09","2014-W36"
2014-09-05,4.35,"http://cf.datawrapper.de/H296a/4/","2014-09","2014-W36"
2014-09-07,4.35,"http://cf.datawrapper.de/H296a/4/","2014-09","2014-W36"
2014-09-08,4.35,"http://cf.datawrapper.de/H296a/4/","2014-09","2014-W37"
2014-09-09,4.35,"http://cf.datawrapper.de/H296a/4/","2014-09","2014-W37"
2014-09-10,4.5,"http://cf.datawrapper.de/H296a/4/","2014-09","2014-W37"
2014-09-12,4.5,"http://cf.datawrapper.de/H296a/4/","2014-09","2014-W37"
2014-09-15,4.47,"http://cf.datawrapper.de/H296a/4/","2014-09","2014-W38"
2014-09-16,4.45,"http://cf.datawrapper.de/H296a/4/","2014-09","2014-W38"
2014-09-17,4.45,"http://cf.datawrapper.de/H296a/4/","2014-09","2014-W38"
2014-09-18,4.5,"http://cf.datawrapper.de/H296a/4/","2014-09","2014-W38"
2014-09-19,4.45,"http://cf.datawrapper.de/H296a/4/","2014-09","2014-W38"
2014-09-23,4.4,"http://cf.datawrapper.de/H296a/4/","2014-09","2014-W39"
2014-09-30,4.4,"http://www.carbonnews.co.nz/story.asp?storyID=8158","2014-09","2014-W40"
2014-10-06,4.35,"http://www.carbonnews.co.nz/story.asp?storyID=8168","2014-10","2014-W41"
2014-10-13,4.4,"http://www.carbonnews.co.nz/story.asp?storyID=8191","2014-10","2014-W42"
2014-10-14,4.42,"http://www.carbonnews.co.nz/story.asp?storyID=8198","2014-10","2014-W42"
2014-10-20,4.32,"http://www.carbonnews.co.nz/story.asp?storyID=8212","2014-10","2014-W43"
2014-10-22,4.3,"http://www.carbonnews.co.nz/story.asp?storyID=8217","2014-10","2014-W43"
2014-10-29,4.37,"http://www.carbonnews.co.nz/story.asp?storyID=8231","2014-10","2014-W44"
2014-11-10,4.4,"http://www.carbonnews.co.nz/story.asp?storyID=8270","2014-11","2014-W46"
2014-11-21,4.3,"http://www.carbonnews.co.nz/story.asp?storyID=8300","2014-11","2014-W47"
2014-11-27,4.32,"http://www.carbonnews.co.nz/story.asp?storyID=8313","2014-11","2014-W48"
2014-11-28,4.55,"http://www.carbonnews.co.nz/story.asp?storyID=8325","2014-11","2014-W48"
2014-12-01,4.55,"http://www.carbonnews.co.nz/story.asp?storyID=8325","2014-12","2014-W49"
2014-12-03,4.85,"http://www.carbonnews.co.nz/story.asp?storyID=8334","2014-12","2014-W49"
2014-12-05,4.95,"http://www.carbonnews.co.nz/story.asp?storyID=8338","2014-12","2014-W49"
2014-12-15,5.4,"http://www.carbonnews.co.nz/story.asp?storyID=8362","2014-12","2014-W51"
2014-12-17,5.5,"http://www.carbonnews.co.nz/story.asp?storyID=8368","2014-12","2014-W51"
2015-01-20,6,"http://www.carbonnews.co.nz/story.asp?storyID=8388","2015-01","2015-W04"
2015-01-22,6,"http://www.carbonnews.co.nz/story.asp?storyID=8387","2015-01","2015-W04"
2015-01-28,5.95,"http://www.carbonnews.co.nz/story.asp?storyID=8408","2015-01","2015-W05"
2015-02-03,6.1,"http://www.carbonnews.co.nz/story.asp?storyID=8429","2015-02","2015-W06"
2015-02-12,4.4,"http://carbon-pulse.com/1018/","2015-02","2015-W07"
2015-02-16,6.45,"http://www.carbonnews.co.nz/story.asp?storyID=8522","2015-02","2015-W08"
2015-02-27,5.85,"http://carbon-pulse.com/1394/","2015-02","2015-W09"
2015-03-06,6.22,"http://carbon-pulse.com/1646/","2015-03","2015-W10"
2015-03-13,6.45,"http://carbon-pulse.com/1938/","2015-03","2015-W11"
2015-03-20,6.47,"http://carbon-pulse.com/2166/","2015-03","2015-W12"
2015-03-27,6.6,"http://carbon-pulse.com/2490/","2015-03","2015-W13"
2015-04-07,6.7,"http://www.carbonnews.co.nz/story.asp?storyID=8579","2015-04","2015-W15"
2015-04-10,6.52,"http://carbon-pulse.com/2937/","2015-04","2015-W15"
2015-04-17,6.3,"http://carbon-pulse.com/3180/","2015-04","2015-W16"
2015-04-24,6.07,"http://carbon-pulse.com/3455/","2015-04","2015-W17"
2015-05-01,6.07,"http://carbon-pulse.com/3717/","2015-05","2015-W18"
2015-05-08,5.95,"http://carbon-pulse.com/3934/","2015-05","2015-W19"
2015-05-15,4.29,"http://carbon-pulse.com/4100/","2015-05","2015-W20"
2015-05-22,5.15,"http://carbon-pulse.com/4350/","2015-05","2015-W21"
2015-05-29,5.25,"http://carbon-pulse.com/4533/","2015-05","2015-W22"
2015-06-05,5.4,"http://carbon-pulse.com/4730/","2015-06","2015-W23"
2015-06-12,6.7,"http://carbon-pulse.com/4959/","2015-06","2015-W24"
2015-06-19,4.67,"http://carbon-pulse.com/5225/","2015-06","2015-W25"
2015-06-26,4.61,"http://carbon-pulse.com/5509/","2015-06","2015-W26"
