"date","price"
2017-11-15,19.24
2017-11-16,19.2
2017-11-20,19.4
2017-11-22,19.25
2017-11-24,19.25
2017-11-29,19.3
2017-11-30,19.75
2017-12-04,19.95
2017-12-05,19.7
2017-12-06,19.82
2017-12-07,20.25
2017-12-08,20.25
2017-12-11,20.25
2017-12-12,20.4
2017-12-13,20.55
2017-12-14,20.75
2017-12-15,21
2018-01-22,21.4
2018-01-24,21.25
2018-01-26,21.2
2018-01-30,21.22
2018-01-31,21.22
2018-02-01,21.32
2018-02-02,21.35
2018-02-05,21.4
2018-02-07,21.4
2018-02-08,21.45
2018-02-09,21.5
2018-02-12,21.55
2018-02-13,21.5
2018-02-14,21.52
2018-02-15,21.55
2018-02-16,21.5
2018-02-20,21.42
2018-02-21,21.2
2018-02-23,21.25
2018-02-25,21.1
2018-02-28,21.85
2018-03-01,20.95
2018-03-02,21.1
2018-03-05,20.9
2018-03-06,20.9
2018-03-07,20.95
2018-03-09,20.9
2018-03-12,21
2018-03-13,20.8
2018-03-14,20.9
2018-03-15,20.92
2018-03-16,20.93
2018-03-17,20.94
2018-03-20,20.93
2018-03-21,20.95
2018-03-22,20.93
2018-03-23,20.95
2018-03-26,20.95
2018-03-27,20.95
2018-03-28,21
2018-03-29,20.95
2018-04-03,21.02
2018-04-04,21.1
2018-04-05,21.1
2018-04-06,21.1
2018-04-09,21.2
2018-04-10,21.22
2018-04-11,21.25
2018-04-12,21.2
2018-04-13,21.25
2018-04-16,21.25
2018-04-17,21.27
2018-04-18,21.27
2018-04-19,21.3
2018-04-20,21.3
2018-04-23,21.35
2018-04-24,21.35
2018-04-26,21.26
2018-04-27,21.27
2018-04-30,21.55
2018-05-01,21.5
2018-05-03,21.47
2018-05-04,21.45
2018-05-07,21.45
2018-05-08,21.45
2018-05-09,21.35
2018-05-10,21.3
2018-05-14,21.3
2018-05-15,21.25
2018-05-16,21.25
2018-05-17,21.2
2018-05-18,21.25
2018-05-21,21.2
2018-05-23,21.2
2018-05-25,21.15
2018-05-28,21
2018-05-30,20.95
2018-06-01,20.95
2018-06-05,20.8
2018-06-06,20.55
2018-06-07,20.75
2018-06-08,20.65
2018-06-11,20.62
2018-06-12,20.55
2018-06-13,20.5
2018-06-14,20.55
2018-06-15,20.45
2018-06-18,20.42
2018-06-19,20.45
2018-06-20,20.5
2018-06-21,20.52
2018-06-22,20.55
2018-06-25,20.8
2018-06-26,20.75
2018-06-27,20.9
2018-06-28,20.92
2018-06-29,21.1
2018-07-02,21.1
2018-07-03,21.17
2018-07-04,21.45
2018-07-06,21.55
2018-07-09,21.55
2018-07-11,21.65
2018-07-12,21.8
2018-07-13,21.8
2018-07-16,22
2018-07-17,21.95
2018-07-18,22.2
2018-07-19,22.4
2018-07-20,22.5
2018-07-23,22.6
2018-07-24,22.65
2018-07-25,22.85
2018-07-26,23
2018-07-27,22.8
2018-07-30,22.75
2018-07-31,22.7
2018-08-01,22.7
2018-08-02,22.7
2018-08-03,22.7
2018-08-06,22.65
2018-08-08,22.7
2018-08-09,22.75
2018-08-10,23.1
2018-08-13,23.1
2018-08-14,23.1
2018-08-15,23.85
2018-08-16,24.2
2018-08-17,24.17
2018-08-20,24.4
2018-08-21,24.3
2018-08-22,24.55
2018-08-23,24.65
2018-08-24,24.65
2018-08-27,24.65
2018-08-28,24.65
2018-08-29,24.8
2018-08-30,24.8
2018-08-31,25.05
2018-09-03,25.05
2018-09-04,25.02
2018-09-05,25.05
2018-09-06,25.1
2018-09-07,25.1
2018-09-10,25.12
2018-09-11,25.15
2018-09-12,25.1
2018-09-13,25.06
2018-09-14,25.05
2018-09-17,24.95
2018-09-19,25
2018-09-20,25.06
2018-09-21,25.03
2018-09-24,25.06
2018-09-26,25.03
2018-09-27,25.03
2018-09-28,25.03
2018-10-01,25
2018-10-02,25.03
2018-10-03,25
2018-10-04,25
2018-10-05,25.05
2018-10-08,25.12
2018-10-09,25.25
2018-10-10,25.25
2018-10-11,25.27
2018-10-12,25.25
2018-10-15,25.11
2018-10-16,25.02
2018-10-17,25.1
2018-10-18,25.05
2018-10-19,25.05
2018-10-23,25.05
2018-10-24,25.1
2018-10-25,25.1
2018-10-26,25.1
2018-10-29,25.1
2018-10-30,25.12
2018-10-31,25.05
2018-11-01,25
2018-11-02,25.02
2018-11-05,25.03
2018-11-06,25.05
2018-11-07,25.05
2018-11-09,25.05
2018-11-12,25.05
2018-11-13,25.05
2018-11-14,25.05
2018-11-15,24.97
2018-11-16,24.9
2018-11-19,24.85
2018-11-20,24.85
2018-11-21,24.8
2018-11-22,24.8
2018-11-23,24.85
2018-11-26,24.8
2018-11-27,24.8
2018-11-28,24.95
2018-11-29,24.9
2018-11-30,25
2018-12-03,25
2018-12-05,25.02
2018-12-06,25.01
2018-12-07,25.1
2018-12-10,25.15
2018-12-11,25.1
2018-12-12,25.45
2018-12-13,25.85
2018-12-14,25.85
2018-12-17,25.8
2018-12-18,24.9
2018-12-19,24.82
2018-12-20,24.85
2018-12-21,24
2019-01-24,25.1
2019-01-25,25.1
2019-01-29,25.05
2019-01-30,25.05
2019-01-31,25.1
2019-02-01,25
2019-02-04,25
2019-02-05,25.05
2019-02-07,24.95
2019-02-08,25
2019-02-11,25.05
2019-02-13,25.3
2019-02-15,25.3
2019-02-18,25.22
2019-02-19,25.3
2019-02-20,25.3
2019-02-21,25.15
2019-02-28,25.15
2019-03-01,25.2
2019-03-04,25.25
2019-03-05,25.2
2019-03-06,25.12
2019-03-07,25.15
2019-03-08,25.2
2019-03-11,25.25
2019-03-12,25.15
2019-03-13,25.3
2019-03-14,25.4
2019-03-15,25.45
2019-03-18,25.55
2019-03-19,25.55
2019-03-20,25.65
2019-03-21,25.57
2019-03-22,25.55
2019-03-25,25.55
2019-03-26,25.55
2019-03-27,25.6
2019-03-28,25.6
2019-03-29,25.67
2019-04-01,25.7
2019-04-02,25.75
2019-04-03,25.7
2019-04-04,25.65
2019-04-05,25.62
2019-04-08,25.63
2019-04-09,25.65
2019-04-11,25.62
2019-04-12,25.62
2019-04-15,25.62
2019-04-16,25.6
2019-04-17,25.65
2019-04-18,25.65
2019-04-23,25.65
2019-04-24,25.62
2019-04-26,25.65
2019-04-30,25.65
2019-05-02,25.55
2019-05-03,25.5
2019-05-06,25.35
2019-05-07,25.45
2019-05-08,25.5
